"Crop             ","Production 2006-07","Production 2007-08","Production 2008-09","Production 2009-10","Production 2010-11","Area 2006-07","Area 2007-08","Area 2008-09","Area 2009-10","Area 2010-11","Yield 2006-07","Yield 2007-08","Yield 2008-09","Yield 2009-10","Yield 2010-11"
"Arecanut  ","182.5","184.3","185.5","184.3","184.3","167.7","169.5","169.7","175.4","175.4","108.8","108.7","109.3","105.1","105.1"
"Cardamom ","159.2","135.8","157.1","159.2","162.2","93.4","77.8","87.5","85.8","82.7","170.5","174.7","179.6","185.6","196.1"
"Coriander","126.4","167.9","131.3","128.5","261.3","79.1","94.8","97.9","88.8","130.7","159.8","177.2","134.1","144.7","199.9"
"Garlic  ","226.2","311.3","242.1","243.0","308.2","187.6","241.6","195.8","194.4","236.8","120.6","128.8","123.6","125.0","130.1"
"Total Fruits & Vegetables","162.6","184.9","241.9","240.3","274.5","139.3","145.0","173.8","170.9","188.3","116.7","127.5","139.2","140.6","145.7"
"Potato","135.7","174.2","210.5","223.8","259.1","142.2","148.8","175.1","175.8","178.4","95.5","117.1","120.2","127.4","145.2"
"Tapioca","146.4","151.5","167.1","140.0","140.3","105.1","103.9","114.8","95.1","90.6","139.2","145.7","145.6","147.1","154.8"
"Sweet potato  ","81.1","79.3","94.2","92.1","88.1","75.8","75.4","88.4","84.6","80.4","106.9","105.2","106.6","108.8","109.6"
"Onion","240.5","247.3","367.1","329.1","409.1","207.7","208.4","246.8","223.6","314.7","115.8","118.7","148.8","147.1","130.0"
"Banana  ","189.3","201.1","298.8","301.7","339.4","117.6","131.2","174.8","189.8","204.6","161.0","153.3","171.0","159.0","165.9"
"Sugarcane","149.8","146.7","120.1","123.2","144.3","142.6","140.0","122.2","115.6","135.2","105.1","104.8","98.3","106.6","106.7"
"Tobacco","88.1","83.6","96.4","105.3","140.9","88.8","83.9","94.2","107.1","118.8","99.1","88.3","102.4","109.6","118.6"
