"Crop","Variety","Season/ duration in days","Recommended Zone",""
"Wheat","Pusa Prachi (HI 1563)","NA","Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal (except Hills), Orissa, Assam and the place of North Eastern states in late sown condition.",""
"Wheat","WHD 943","NA","Punjab, Haryana, Delhi, Rajasthan (except Kota and Udaipur divisions), West Uttar Pradesh (except Jhansi Divisions) Jammu and Kathua districts of Jammu and Kashmir, Paonta valley and Una district of Himachal Pradesh, and tarai region of Uttarakhand.",""
"Wheat","Netravati  (NIAW 1415)","NA","Maharshtra, and Karnataka under rainfed condition and restricted irrigated condition.",""
"Barley","BH-902","130","Punjab, Haryana, Western Uttar Pradesh (Excluding Jhansi Division), Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand & Jammu and Kathua District of J & K under timely sown irrigated conditions.",""
"Barley","DWRB 73","NA","Punjab, Haryana, Western Uttar Pradesh, Delhi and Rajasthan (except Kota and Udaipur region) under irrigated late sown condition.",""
"Barley","Pusa Losar  (BH- 380)","190","Himachal Pradesh, Uttarakhand, Jammu & Kashmir and North Eastern States under timely sown rainfed conditions.",""
"Maize","HSC1","80-82","Himachal Pradesh and Uttarakhand under Kharif season.",""
"Maize","HQPM-4","95","Punjab, Haryana, Delhi, West and Central UP, Bihar, Jharkhand, Orissa, Eastern UP, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh under Kharif Season.",""
"Maize","MCH 36 (Hybrid) (DKC 9099)","99","Karnataka, Tamil Nadu and Maharashtra in Kharif season under irrigated and rainfed conditions.",""
"Maize","DHM 119 (BH 4062)","NA","Andhra Pradesh, Maharashtra, Tamil Nadu and Karnataka in Kharif season.",""
"Maize","PMH 4 (JH 31153)","NA","Punjab, Haryana, Delhi and western Uttar Pradesh under irrigated condition.",""
"Maize","PMH 5 (JH 3110)","NA","Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh in Kharif season under both irrigated and rainfed condition.",""
"Pearl Millet","Nandi-65 (MH-1549)","80","Rajasthan, Gujarat, Haryana, MP, UP, Punjab and Delhi in Kharif season.",""
"Pearl Millet","Nandi-61 (MH-1548)","81","Rajasthan, Gujarat, Haryana, Punjab and Delhi in Kharif season.",""
"Pearl Millet","86M64 (MSH 203) (Hybrid)","80-85","Rajasthan, Gujarat, Maharashtra and Tamil Nadu in summer season.",""
"Pearl Millet","MH 1540 (86M64) (Hybrid)","80-85","Andhra Pradesh, Karnataka, Tamil Nadu   and Maharashtra under normal Kharif season.",""
"Pearl Millet","MH 1541 (86M53) (Hybrid)","78-80","Andhra Pradesh, Karnataka, Tamil Nadu and Maharashtra under normal Kharif season.",""
"Pearl Millet","RHB 177 (MH 1486)","NA","Rajasthan, Haryana and Gujarat under rainfed low fertility condition.",""
"Pearl Millet","HHB 226  (MH 1479)","NA","Rajasthan, Gujarat, Haryana, Uttar Pradesh, Punjab and Madhya Pradesh.",""
"Finger Millet","GPU 67","119","Chhattisgarh, Jharkhand, Karnataka, Maharashtra, Tamil Nadu and Uttarakhand in Kharif  season.",""
"Indian Mustard","DRMR 601 (NRCDR 601)","144","Rajasthan, Haryana, Punjab, Delhi and Jammu & Kashmir under timely sown irrigated condition.",""
"Indian Mustard","Pusa Mustard 26 (NPJ-113)","NA","Plains of Jammu & Kashmir, Punjab, Haryana, Rajasthan, Delhi and Western Uttar Pradesh in multiple cropping systems.",""
"Indian Mustard","Pusa Mustard 27 (EJ-17)","NA","Uttar Pradesh, Madhya Pradesh, Uttarakhand and Kota region of Rajasthan in multiple cropping systems.",""
"Indian Mustard","CORAL 432 (PAC 432)(Hybrid)","130","Uttar Pradesh, Madhya Pradesh, Rajasthan and Uttarakhand under timely sown irrigated condition",""
"Yellow Sarson","Pitambari (RYSK-05-02)","110-115","UP, West Bengal, Haryana, Bihar, Gujarat, Uttarakhand and Manipur. ",""
"Linseed","JLS-67 (Shival)","114","Bundelkhand part of Uttar Pradesh, Madhya Pradesh and Rajasthan under rainfed condition.",""
"Linseed","Ruchi (LCK 5021)","134","Uttar Pradesh (except Bundelkhand), Bihar, Assam, West Bengal and Jharkhand under timely sown irrigated condition.",""
"Linseed","JLS-73 (SLS-73)","NA","Madhya Pradesh, Rajasthan and Bundelkhand of Uttar Pradesh, north east and Central Maharashtra and North east part of Gujarat in Rabi season under irrigated condition.",""
"Groundnut","Girnar - 3 (PBS 12160)","108","West Bengal, Orissa and Manipur under Kharif rainfed condition.",""
"Groundnut","Kadiri Harithandhra (K 1319)","122","Karnataka and Maharashtra under timely sown irrigated condition in Rabi and Summer season.",""
"Groundnut","GPBD 5","105-110","Jharkhand and Manipur in Kharif Season.",""
"Sesame","Rajasthan Till 351 (RT 351)","NA","Rajasthan, Uttar Pradesh, Maharashtra, Gujarat, Karnataka, Himachal Pradesh, Punjab, Haryana and Jammu and Kashmir.",""
"Chickpea ","Ujjawal (IPCK2004-29)","103-111","MP, South Rajasthan, Chhattisgarh, Maharashtra, Gujarat, Bundelkhand Region of UP under irrigated conditions during Rabi Season.",""
"Bengal Gram","PKV KABULI-4","110","Maharashtra, Madhya Pradesh under irrigated conditions. ",""
"Bengal Gram","MNK-1","NA","Karnataka, Andhra Pradesh, Orissa and Tamil Nadu in normal sown rainfed as well as irrigated condition.",""
"Lentil","Pant Lentil-8(Pant L-063)","135","Punjab, Haryana, Plains of Uttarakhand, Western Uttar Pradesh, Delhi and Rajasthan as a pure crop in Rabi season.",""
"Lentil","Pant Lentil-7(Pant L-024)","147","Punjab, Haryana and Uttar Pradesh under in Rabi season.",""
"Fieldpea","Aman  (IPF 5-19)","137","Punjab, Haryana, Plains of Uttarakhand, Western Uttar Pradesh, Delhi and parts of Rajasthan during Rabi season.",""
"Fieldpea","GOMATI (TRCP-8)","140","Uttarakhand Hills, Jammu & Kashmir and North Eastern States under normal sown Rabi season as pure crop. ",""
"Fieldpea","Dantiwada Fieldpea 1 (SKNP 04-09)","NA","Eastern Uttar Pradesh, Bihar, Jharkhand and West Bengal in Rabi season.",""
"French Bean","Gujarat Rajmash-1 (DPR 88-1-2)","108","Gujarat, Southern Part of Rajasthan, Maharashtra and Madhya Pradesh.",""
"Mungbean","PKV AKM-4 (AKM-9904)","NA","Karnataka, Tamil Nadu and Orissa in Kharif season.",""
"Urdbean","Mash 479 (KUG 479)","NA","Punjab, Haryana, Western Uttar Pradesh and Plains of Uttarakhand in Kharif season.",""
"Urdbean","Mash 391 (LU 391)","NA","Karnataka, Andhra Pradesh, Orissa and Tamil Nadu in summer season.",""
"Cluster Bean","HG 884","110","Uttar Pradesh, Madhya Pradesh, Haryana, Gujarat and Rajasthan under timely sowing, normal fertility and rainfed conditions. ",""
"Cluster Bean","HG 2-20","100","Uttar Pradesh, Haryana, Gujarat and Rajasthan under timely sowing, normal fertility and rainfed conditions",""
"Horse Gram","CRIDALATHA (CRHG-4)","110","South India under rainfed conditions.",""
"Sugarcane","Karan 6 (Co 0239)","NA","Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",""
"Sugarcane","Karan 5 (Co 0124)","NA","Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",""
"Sugarcane","Co-0218","360","Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh.",""
"Napier Bajra Hybrid","Phule Jaywant (RBN-13)","NA","Madhya Pradesh, Maharashtra, Gujarat, Southern Part of UP, Andhra Pradesh, Tamil Nadu, Karnataka and Kerala under irrigated conditions.",""
"Oat","Narendra Jayee -1 (NDO - 1)","120","Oat growing areas of India for single cut system under both normal and salt affected soil in Rabi Season.",""
"Oat","OS 346","90","Madhya Pradesh, Gujarat and Maharashtra under timely sown irrigated condition suitable for single cut system.",""
"Oat","JO 03-91 (SC)","NA","Madhya Pradesh, Chhattisgarh, Bundelkhand region of Uttar Pradesh, Rahuri and Urulikanchan areas of Maharashtra and Anand adjoining area of Gujarat.",""
"Tall Fescue Grass","EC 178182","NA","The temperate and sub-temperate grasslands and pastures of hill zone of the country comprising states of Himachal Pradesh, Uttarakhand and Jammu & Kashmir.",""
"Cowpea (Fodder)","UPC 628","145-150","States of Uttarakhand, HP, J & K, Punjab, Haryana, Rajasthan, UP, MP, Chhattisgarh, Bihar, Jharkhand, West Bengal, Orissa, Assam, Gujarat and Maharashtra in irrigated summer and rainfed Kharif.",""
"Jute","SUDHANGSU (JBO-1)","NA","West Bengal, Assam, Bihar and Orissa.",""
"Jute","ARPITA  (JBC-5)","-","West Bengal and Assam under rainfed agro system.",""
"Mesta","SNEHA  (JRM-3)","-","Traditional Mesta Growing belt of the Country under rainfed conditions.",""
"Mesta","SHRESTHA (JRM-5)","-","Andhra Pradesh, Orissa, Assam, Maharashtra, Bihar and West Bengal under rainfed conditions.",""
"Cotton","CNH012","165","Gujarat, Maharashtra and Madhya Pradesh.",""
"Cotton","CICR-3 (CISA 614)","150","Punjab, Haryana and Uttar Pradesh under wilt free area.",""
"Cotton","VBCH 2231","NA","Maharashtra, Gujarat, Madhya Pradesh and Orissa under rainfed conditions.",""
"Desi Cotton","FDK 124","NA","Punjab, Haryana and Rajasthan under irrigated condition.",""
