Date,Open,High,Low,Close,Previous,Change,%Change
2009-07-13,35.03,37.55,35.03,36.5,35.03,1.47,0.042
2009-07-14,36.5,36.5,34.2,34.67,36.5,-1.83,-0.0501
2009-07-15,34.67,36.33,31.41,36.12,34.67,1.45,0.0418
2009-07-16,33.38,38.18,33.38,37.58,36.12,1.46,0.0404
2009-07-17,34.34,37.23,34.34,35.95,37.58,-1.63,-0.0434
2009-07-20,34.65,37.65,34.32,36.97,35.95,1.02,0.028399999999999998
2009-07-21,36.59,37.49,36.31,36.56,36.97,-0.41,-0.0111
2009-07-22,35.24,37.29,35.24,37.13,36.56,0.57,0.015600000000000001
2009-07-23,35.72,36.9,35.72,36.31,37.13,-0.82,-0.0221
2009-07-24,34.97,37.27,34.97,36.59,36.31,0.28,0.0077
2009-07-27,36.11,38.57,36.11,37.43,36.59,0.84,0.023
2009-07-28,37.43,37.48,35.95,35.95,37.43,-1.48,-0.0395
2009-07-29,35.95,37.62,35.73,37.55,35.95,1.6,0.044500000000000005
2009-07-30,37.55,37.55,35.65,36.6,37.55,-0.95,-0.0253
2009-07-31,36.6,36.6,34.88,36.14,36.6,-0.46,-0.0126
2009-08-03,36.14,37.67,35.4,37.38,36.14,1.24,0.034300000000000004
2009-08-04,37.38,37.48,36.32,37.1,37.38,-0.28,-0.0075
2009-08-05,37.1,37.99,36.16,37.04,37.1,-0.06,-0.0016
2009-08-06,36.13,38.41,35.57,38.0,37.04,0.96,0.0259
2009-08-07,38.0,38.49,32.33,37.74,38.0,-0.26,-0.0068000000000000005
2009-08-10,37.74,39.89,36.72,39.14,37.74,1.4,0.0371
2009-08-11,39.14,39.2,31.59,39.04,39.14,-0.1,-0.0026000000000000003
2009-08-12,37.31,40.61,36.36,38.89,39.04,-0.15,-0.0038
2009-08-13,34.76,38.75,34.76,35.95,38.89,-2.94,-0.0756
2009-08-14,34.28,37.75,34.28,36.74,35.95,0.79,0.022000000000000002
2009-08-17,34.83,41.89,34.83,41.28,36.74,4.54,0.1236
2009-08-18,36.37,41.09,36.37,38.74,41.28,-2.54,-0.061500000000000006
2009-08-19,35.49,40.29,35.49,39.55,38.74,0.81,0.0209
2009-08-20,37.46,38.86,37.29,37.65,39.55,-1.9,-0.048
2009-08-21,35.38,38.02,35.38,36.07,37.65,-1.58,-0.042
2009-08-24,34.24,35.97,34.24,35.51,36.07,-0.56,-0.015500000000000002
2009-08-25,35.51,36.31,34.93,35.18,35.51,-0.33,-0.009300000000000001
2009-08-26,35.18,35.18,34.23,34.35,35.18,-0.83,-0.0236
2009-08-27,34.35,34.73,33.54,33.6,34.35,-0.75,-0.021800000000000003
2009-08-28,33.6,34.26,32.45,33.5,33.6,-0.1,-0.003
2009-08-31,33.5,35.01,33.22,34.22,33.5,0.72,0.0215
2009-09-01,31.71,35.76,31.71,34.79,34.22,0.57,0.0167
2009-09-02,34.79,35.58,31.17,34.73,34.79,-0.06,-0.0017000000000000001
2009-09-03,33.73,35.3,33.3,33.82,34.73,-0.91,-0.0262
2009-09-04,33.82,33.82,32.15,32.39,33.82,-1.43,-0.042300000000000004
2009-09-07,33.6,33.6,31.91,32.05,32.39,-0.34,-0.0105
2009-09-08,26.08,32.41,26.08,31.78,32.05,-0.27,-0.0084
2009-09-09,32.14,32.16,31.4,31.41,31.78,-0.37,-0.0116
2009-09-10,30.49,31.67,30.49,31.36,31.41,-0.05,-0.0016
2009-09-11,29.51,31.38,29.37,30.58,31.36,-0.78,-0.024900000000000002
2009-09-14,31.63,32.34,31.55,31.55,30.58,0.97,0.0317
2009-09-15,31.11,31.4,29.76,30.12,31.55,-1.43,-0.0453
2009-09-16,29.01,29.55,28.21,28.29,30.12,-1.83,-0.0608
2009-09-17,27.97,28.48,27.63,27.89,28.29,-0.4,-0.0141
2009-09-18,27.14,28.08,26.8,26.99,27.89,-0.9,-0.0323
2009-09-22,26.99,32.66,26.3,26.87,26.99,-0.12,-0.0044
2009-09-23,26.87,27.5,26.27,26.47,26.87,-0.4,-0.0149
2009-09-24,26.47,27.99,24.29,24.31,26.47,-2.16,-0.0816
2009-09-25,24.31,27.77,24.05,25.69,24.31,1.38,0.056799999999999996
2009-09-29,25.69,27.2,25.69,26.17,25.69,0.48,0.0187
2009-09-30,26.17,26.63,25.01,25.29,26.17,-0.88,-0.0336
2009-10-01,25.29,25.65,25.06,25.24,25.29,-0.05,-0.002
2009-10-05,25.24,28.94,25.24,28.68,25.24,3.44,0.1363
2009-10-06,26.57,30.25,26.57,27.73,28.68,-0.95,-0.033100000000000004
2009-10-07,27.73,30.72,27.16,30.53,27.73,2.8,0.10099999999999999
2009-10-08,28.39,30.15,28.39,29.9,30.53,-0.63,-0.0206
2009-10-09,27.2,30.6,27.2,30.24,29.9,0.34,0.011399999999999999
2009-10-12,29.73,30.85,28.01,28.1,30.24,-2.14,-0.0708
2009-10-14,27.72,27.92,26.37,26.37,28.1,-1.73,-0.0616
2009-10-15,22.84,27.64,22.84,26.64,26.37,0.27,0.0102
2009-10-16,25.45,27.17,25.45,25.94,26.64,-0.7,-0.0263
2009-10-17,25.94,26.36,23.5,26.29,25.94,0.35,0.013500000000000002
2009-10-20,23.73,26.95,23.73,26.67,26.29,0.38,0.014499999999999999
2009-10-21,25.53,27.17,25.53,26.77,26.67,0.1,0.0037
2009-10-22,25.55,27.29,25.55,26.51,26.77,-0.26,-0.0097
2009-10-23,25.02,25.92,24.86,25.22,26.51,-1.29,-0.0487
2009-10-26,23.56,26.55,23.56,26.04,25.22,0.82,0.0325
2009-10-27,26.04,28.17,25.22,28.07,26.04,2.03,0.078
2009-10-28,28.07,28.68,27.0,28.49,28.07,0.42,0.015
2009-10-29,28.13,31.98,27.73,28.31,28.49,-0.18,-0.0063
2009-10-30,25.91,29.37,25.7,28.81,28.31,0.5,0.0177
2009-11-03,25.29,33.05,25.29,32.04,28.81,3.23,0.1121
2009-11-04,28.54,32.42,28.54,30.04,32.04,-2.0,-0.062400000000000004
2009-11-05,28.48,31.8,28.48,30.03,30.04,-0.01,-0.0003
2009-11-06,27.38,30.73,27.38,29.21,30.03,-0.82,-0.0273
2009-11-09,29.21,30.9,28.94,29.52,29.21,0.31,0.0106
2009-11-10,26.85,30.5,26.85,30.15,29.52,0.63,0.0213
2009-11-11,30.23,31.7,28.59,30.84,30.15,0.69,0.0229
2009-11-12,27.17,30.41,27.17,29.61,30.84,-1.23,-0.039900000000000005
2009-11-13,26.63,29.94,26.63,29.65,29.61,0.04,0.0014000000000000002
2009-11-16,29.65,29.65,27.8,28.04,29.65,-1.61,-0.0543
2009-11-17,28.04,28.06,26.75,26.75,28.04,-1.29,-0.046
2009-11-18,25.18,26.84,25.18,26.29,26.75,-0.46,-0.0172
2009-11-19,23.72,27.91,23.72,27.48,26.29,1.19,0.0453
2009-11-20,27.48,29.1,26.23,28.61,27.48,1.13,0.041100000000000005
2009-11-23,28.61,28.61,24.48,26.28,28.61,-2.33,-0.08140000000000001
2009-11-24,26.28,26.85,24.94,25.45,26.28,-0.83,-0.0316
2009-11-25,25.45,26.47,23.62,24.66,25.45,-0.79,-0.031000000000000003
2009-11-26,24.66,30.13,24.51,28.12,24.66,3.46,0.1403
2009-11-27,28.12,35.84,28.12,30.13,28.12,2.01,0.07150000000000001
2009-11-30,30.13,30.13,26.74,27.4,30.13,-2.73,-0.0906
2009-12-01,25.57,26.7,24.94,26.27,27.4,-1.13,-0.0412
2009-12-02,24.08,26.16,24.08,25.64,26.27,-0.63,-0.024
2009-12-03,25.64,27.3,24.73,25.59,25.64,-0.05,-0.002
2009-12-04,23.78,26.9,23.78,25.61,25.59,0.02,0.0008
2009-12-07,24.09,27.5,24.09,26.95,25.61,1.34,0.052300000000000006
2009-12-08,26.95,28.81,26.08,26.23,26.95,-0.72,-0.0267
2009-12-09,25.23,27.38,25.23,27.36,26.23,1.13,0.0431
2009-12-10,25.17,27.79,25.17,27.03,27.36,-0.33,-0.0121
2009-12-11,24.78,27.75,24.78,26.76,27.03,-0.27,-0.01
2009-12-14,24.72,28.27,24.72,27.82,26.76,1.06,0.0396
2009-12-15,25.81,28.68,25.81,28.59,27.82,0.77,0.027700000000000002
2009-12-16,27.38,28.39,27.28,27.36,28.59,-1.23,-0.043
2009-12-17,23.5,27.65,23.5,27.23,27.36,-0.13,-0.0048
2009-12-18,25.5,27.21,25.5,26.59,27.23,-0.64,-0.0235
2009-12-21,24.19,27.34,24.19,25.95,26.59,-0.64,-0.024100000000000003
2009-12-22,24.97,25.75,24.5,24.69,25.95,-1.26,-0.048600000000000004
2009-12-23,22.82,26.55,22.82,24.49,24.69,-0.2,-0.008100000000000001
2009-12-24,22.76,23.96,22.65,22.94,24.49,-1.55,-0.0633
2009-12-29,22.94,24.9,22.94,24.33,22.94,1.39,0.060599999999999994
2009-12-30,24.33,25.11,24.2,24.58,24.33,0.25,0.0103
2009-12-31,23.24,24.39,23.16,23.35,24.58,-1.23,-0.05
2010-01-04,23.35,24.95,23.35,23.73,23.35,0.38,0.0163
2010-01-05,23.73,23.73,22.08,22.21,23.73,-1.52,-0.0641
2010-01-06,21.73,22.57,21.73,22.1,22.21,-0.11,-0.005
2010-01-07,21.27,22.92,21.25,22.29,22.1,0.19,0.0086
2010-01-08,20.64,22.71,20.64,22.41,22.29,0.12,0.0054
2010-01-11,22.25,22.83,22.15,22.45,22.41,0.04,0.0018
2010-01-12,22.45,23.19,22.24,22.96,22.45,0.51,0.0227
2010-01-13,21.13,23.11,21.13,21.96,22.96,-1.0,-0.04360000000000001
2010-01-14,19.5,21.83,19.5,20.89,21.96,-1.07,-0.0487
2010-01-15,20.11,21.36,20.11,21.06,20.89,0.17,0.008100000000000001
2010-01-18,19.4,22.13,19.4,21.64,21.06,0.58,0.0275
2010-01-19,20.33,22.36,20.33,22.01,21.64,0.37,0.0171
2010-01-20,19.79,22.83,19.79,22.25,22.01,0.24,0.010900000000000002
2010-01-21,20.94,24.89,20.94,24.17,22.25,1.92,0.08630000000000002
2010-01-22,24.17,26.7,24.17,25.4,24.17,1.23,0.0509
2010-01-25,25.25,26.45,25.04,25.81,25.4,0.41,0.0161
2010-01-27,24.71,29.23,24.71,29.2,25.81,3.39,0.1313
2010-01-28,26.55,29.23,26.55,26.93,29.2,-2.27,-0.07769999999999999
2010-01-29,27.1,28.54,25.72,26.65,26.93,-0.28,-0.010400000000000001
2010-02-01,23.35,27.3,23.35,26.17,26.65,-0.48,-0.018000000000000002
2010-02-02,23.94,27.43,23.94,26.05,26.17,-0.12,-0.0046
2010-02-03,25.79,27.05,25.39,26.23,26.05,0.18,0.0069
2010-02-04,23.63,27.49,23.63,26.56,26.23,0.33,0.0126
2010-02-05,26.56,31.16,26.56,29.96,26.56,3.4,0.128
2010-02-06,29.96,29.96,28.05,29.18,29.96,-0.78,-0.026000000000000002
2010-02-08,29.18,31.74,29.18,31.33,29.18,2.15,0.0737
2010-02-09,30.24,30.61,29.61,29.91,31.33,-1.42,-0.0453
2010-02-10,28.37,30.79,28.37,30.61,29.91,0.7,0.0234
2010-02-11,27.29,29.73,27.29,29.14,30.61,-1.47,-0.048
2010-02-15,29.34,30.56,29.18,29.67,29.14,0.53,0.0182
2010-02-16,27.73,29.73,27.73,28.92,29.67,-0.75,-0.0253
2010-02-17,26.49,28.61,26.49,27.75,28.92,-1.17,-0.0405
2010-02-18,26.49,28.57,26.49,28.42,27.75,0.67,0.024100000000000003
2010-02-19,26.68,30.62,26.68,30.45,28.42,2.03,0.0714
2010-02-22,28.19,31.82,28.19,31.8,30.45,1.35,0.0443
2010-02-23,31.27,32.13,30.89,31.09,31.8,-0.71,-0.0223
2010-02-24,29.13,31.32,29.13,30.55,31.09,-0.54,-0.0174
2010-02-25,30.55,30.6,28.84,29.71,30.55,-0.84,-0.0275
2010-02-26,29.71,29.86,23.38,25.24,29.71,-4.47,-0.15050000000000002
2010-03-02,23.27,23.66,21.99,22.82,25.24,-2.42,-0.0959
2010-03-03,20.83,21.83,20.8,21.3,22.82,-1.52,-0.0666
2010-03-04,20.3,21.65,20.3,21.24,21.3,-0.06,-0.0028000000000000004
2010-03-05,19.48,21.43,19.48,21.0,21.24,-0.24,-0.0113
2010-03-08,19.81,21.21,19.81,20.82,21.0,-0.18,-0.0086
2010-03-09,20.44,21.18,20.4,20.96,20.82,0.14,0.0067
2010-03-10,18.41,20.77,18.41,20.25,20.96,-0.71,-0.0339
2010-03-11,18.55,20.64,18.55,20.53,20.25,0.28,0.0138
2010-03-12,18.48,20.4,18.48,19.82,20.53,-0.71,-0.0346
2010-03-15,19.15,20.93,19.15,20.43,19.82,0.61,0.0308
2010-03-16,18.74,20.27,18.74,20.17,20.43,-0.26,-0.012700000000000001
2010-03-17,17.86,19.57,17.86,19.04,20.17,-1.13,-0.055999999999999994
2010-03-18,17.96,19.7,17.96,19.26,19.04,0.22,0.0116
2010-03-19,18.08,19.39,18.08,18.94,19.26,-0.32,-0.0166
2010-03-22,18.94,20.31,18.0,20.21,18.94,1.27,0.0671
2010-03-23,20.21,20.4,18.33,18.42,20.21,-1.79,-0.0886
2010-03-25,18.42,19.26,17.24,17.84,18.42,-0.58,-0.0315
2010-03-26,17.84,18.32,16.63,18.23,17.84,0.39,0.0219
2010-03-29,18.16,19.9,18.16,19.48,18.23,1.25,0.06860000000000001
2010-03-30,18.28,19.9,18.28,19.9,19.48,0.42,0.0216
2010-03-31,19.9,20.06,18.94,19.83,19.9,-0.07,-0.0034999999999999996
2010-04-01,18.81,19.42,17.49,18.09,19.83,-1.74,-0.0877
2010-04-05,17.43,18.28,16.94,17.5,18.09,-0.59,-0.0326
2010-04-06,17.5,17.52,16.47,17.3,17.5,-0.2,-0.011399999999999999
2010-04-07,17.3,17.79,16.63,17.5,17.3,0.2,0.0116
2010-04-08,16.68,19.81,16.54,19.58,17.5,2.08,0.1189
2010-04-09,18.06,18.85,18.03,18.6,19.58,-0.98,-0.0501
2010-04-12,17.29,20.59,17.29,19.97,18.6,1.37,0.0737
2010-04-13,18.96,20.39,18.96,20.1,19.97,0.13,0.006500000000000001
2010-04-15,17.76,21.58,17.76,21.43,20.1,1.33,0.06620000000000001
2010-04-16,20.43,22.04,20.43,21.63,21.43,0.2,0.009300000000000001
2010-04-19,21.63,23.27,21.19,22.72,21.63,1.09,0.0504
2010-04-20,22.72,22.72,20.81,20.82,22.72,-1.9,-0.0836
2010-04-21,18.9,20.39,18.9,19.78,20.82,-1.04,-0.05
2010-04-22,19.9,21.16,19.31,20.53,19.78,0.75,0.0379
2010-04-23,19.1,20.91,19.08,20.35,20.53,-0.18,-0.0088
2010-04-26,19.0,20.66,18.94,19.82,20.35,-0.53,-0.026000000000000002
2010-04-27,19.82,20.09,19.64,19.82,19.82,0.0,0.0
2010-04-28,19.82,23.12,18.92,22.73,19.82,2.91,0.1468
2010-04-29,22.73,22.73,20.05,21.09,22.73,-1.64,-0.0722
2010-04-30,18.94,20.77,18.94,20.29,21.09,-0.8,-0.0379
2010-05-03,20.56,22.46,20.56,22.11,20.29,1.82,0.0897
2010-05-04,20.95,23.83,20.95,23.7,22.11,1.59,0.0719
2010-05-05,23.7,25.31,22.13,24.85,23.7,1.15,0.048499999999999995
2010-05-06,21.73,26.23,21.73,24.23,24.85,-0.62,-0.024900000000000002
2010-05-07,24.23,27.88,22.76,27.31,24.23,3.08,0.12710000000000002
2010-05-10,27.31,27.31,23.69,25.62,27.31,-1.69,-0.061900000000000004
2010-05-11,25.62,25.72,22.14,25.59,25.62,-0.03,-0.0012
2010-05-12,22.93,26.86,22.93,25.69,25.59,0.1,0.0039000000000000003
2010-05-13,22.44,25.3,22.44,24.54,25.69,-1.15,-0.044800000000000006
2010-05-14,23.73,26.41,23.73,26.18,24.54,1.64,0.0668
2010-05-17,25.27,29.1,25.27,26.93,26.18,0.75,0.0286
2010-05-18,24.48,27.44,24.48,26.43,26.93,-0.5,-0.018600000000000002
2010-05-19,24.88,31.28,24.88,29.99,26.43,3.56,0.13470000000000001
2010-05-20,29.22,30.89,27.37,30.04,29.99,0.05,0.0017000000000000001
2010-05-21,27.01,31.9,27.01,31.27,30.04,1.23,0.0409
2010-05-24,31.27,31.37,28.42,30.84,31.27,-0.43,-0.0138
2010-05-25,30.84,35.75,29.14,34.37,30.84,3.53,0.11449999999999999
2010-05-26,34.37,34.37,31.29,32.29,34.37,-2.08,-0.0605
2010-05-27,32.29,32.29,28.98,29.62,32.29,-2.67,-0.0827
2010-05-28,29.62,29.62,26.22,26.22,29.62,-3.4,-0.11480000000000001
2010-05-31,26.67,27.48,26.2,26.43,26.22,0.21,0.008
2010-06-01,26.07,29.3,26.07,28.6,26.43,2.17,0.0821
2010-06-02,27.88,29.2,27.8,28.06,28.6,-0.54,-0.0189
2010-06-03,25.99,26.38,25.19,25.4,28.06,-2.66,-0.09480000000000001
2010-06-04,25.45,25.63,24.25,25.02,25.4,-0.38,-0.015
2010-06-07,25.02,28.36,25.02,28.27,25.02,3.25,0.12990000000000002
2010-06-08,27.23,29.29,27.14,28.79,28.27,0.52,0.0184
2010-06-09,28.15,28.64,27.51,28.09,28.79,-0.7,-0.024300000000000002
2010-06-10,27.81,27.96,26.43,26.73,28.09,-1.36,-0.0484
2010-06-11,25.15,25.56,24.75,25.06,26.73,-1.67,-0.0625
2010-06-14,24.79,24.79,22.88,23.23,25.06,-1.83,-0.073
2010-06-15,22.97,23.25,21.63,21.95,23.23,-1.28,-0.055099999999999996
2010-06-16,20.58,22.63,20.58,22.22,21.95,0.27,0.0123
2010-06-17,20.78,22.49,20.78,21.66,22.22,-0.56,-0.0252
2010-06-18,19.7,21.04,19.7,20.52,21.66,-1.14,-0.0526
2010-06-21,18.52,20.21,18.52,19.91,20.52,-0.61,-0.029700000000000004
2010-06-22,19.91,21.32,19.86,20.58,19.91,0.67,0.0337
2010-06-23,21.27,21.86,20.3,20.3,20.58,-0.28,-0.013600000000000001
2010-06-24,20.3,21.6,19.3,19.81,20.3,-0.49,-0.024100000000000003
2010-06-25,19.81,20.86,19.49,20.19,19.81,0.38,0.0192
2010-06-28,20.37,20.89,19.54,19.71,20.19,-0.48,-0.023799999999999998
2010-06-29,19.69,21.58,19.69,20.68,19.71,0.97,0.0492
2010-06-30,21.22,21.78,20.06,21.11,20.68,0.43,0.020800000000000003
2010-07-01,21.53,21.95,20.3,21.74,21.11,0.63,0.0298
2010-07-02,21.74,21.91,20.71,21.89,21.74,0.15,0.0069
2010-07-05,21.89,22.58,21.86,21.98,21.89,0.09,0.0040999999999999995
2010-07-06,21.98,22.33,20.75,20.9,21.98,-1.08,-0.049100000000000005
2010-07-07,20.9,22.41,20.47,22.11,20.9,1.21,0.0579
2010-07-08,22.11,22.11,20.63,21.15,22.11,-0.96,-0.0434
2010-07-09,21.15,21.15,19.84,20.22,21.15,-0.93,-0.044000000000000004
2010-07-12,18.75,20.41,18.58,19.9,20.22,-0.32,-0.0158
2010-07-13,19.89,20.29,19.06,19.12,19.9,-0.78,-0.0392
2010-07-14,18.16,20.2,18.07,20.07,19.12,0.95,0.0497
2010-07-15,19.98,20.47,18.82,20.11,20.07,0.04,0.002
2010-07-16,20.11,20.42,18.75,19.7,20.11,-0.41,-0.0204
2010-07-19,19.7,20.87,19.36,20.71,19.7,1.01,0.0513
2010-07-20,20.71,20.71,19.61,20.38,20.71,-0.33,-0.0159
2010-07-21,20.38,20.38,18.82,20.0,20.38,-0.38,-0.018600000000000002
2010-07-22,20.0,20.37,18.68,18.9,20.0,-1.1,-0.055
2010-07-23,18.9,19.72,17.14,19.24,18.9,0.34,0.018000000000000002
2010-07-26,19.24,20.05,18.62,19.97,19.24,0.73,0.0379
2010-07-27,19.97,20.16,18.96,19.22,19.97,-0.75,-0.0376
2010-07-28,19.22,19.81,17.96,19.52,19.22,0.3,0.015600000000000001
2010-07-29,19.52,19.65,18.33,18.33,19.52,-1.19,-0.061
2010-07-30,18.33,19.23,16.25,18.94,18.33,0.61,0.0333
2010-08-02,18.94,19.26,17.92,17.99,18.94,-0.95,-0.050199999999999995
2010-08-03,17.99,18.26,16.78,17.55,17.99,-0.44,-0.0245
2010-08-04,17.55,17.64,16.74,17.04,17.55,-0.51,-0.0291
2010-08-05,17.04,17.72,15.83,17.71,17.04,0.67,0.0393
2010-08-06,17.71,17.71,16.63,17.37,17.71,-0.34,-0.0192
2010-08-09,17.37,17.92,16.87,17.0,17.37,-0.37,-0.0213
2010-08-10,17.0,17.75,16.37,17.33,17.0,0.33,0.0194
2010-08-11,17.33,18.11,16.39,18.11,17.33,0.78,0.045
2010-08-12,18.11,18.71,16.74,18.0,18.11,-0.11,-0.0061
2010-08-13,18.0,18.0,15.87,16.74,18.0,-1.26,-0.07
2010-08-16,16.74,18.32,15.8,18.11,16.74,1.37,0.0818
2010-08-17,18.11,18.11,16.25,17.63,18.11,-0.48,-0.0265
2010-08-18,17.63,17.76,15.42,16.4,17.63,-1.23,-0.0698
2010-08-19,16.4,17.02,15.47,16.53,16.4,0.13,0.0079
2010-08-20,16.53,16.87,15.29,16.7,16.53,0.17,0.0103
2010-08-23,16.7,17.3,15.44,17.14,16.7,0.44,0.0263
2010-08-24,17.14,17.8,15.58,16.99,17.14,-0.15,-0.0088
