Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
2017-09-22,Southern,270.69,191.91,0.00,0.00,0.00,0.00
2017-09-22,Eastern,147.51,138.30,NaN,NaN,3.37,2.65
2017-09-22,NorthEastern,12.34,12.38,NaN,NaN,0.00,0.00
2017-09-23,Northern,624.13,523.93,30.36,30.20,273.27,279.90
2017-09-23,Western,"1,135.69","1,146.57",25.17,3.83,72.00,21.41
2017-09-23,Southern,587.32,578.34,62.73,55.46,111.57,101.99
2017-09-23,Eastern,486.07,436.38,NaN,NaN,85.94,73.20
2017-09-23,NorthEastern,29.11,28.05,NaN,NaN,24.64,21.42
2017-09-24,Northern,624.13,520.12,30.36,31.43,273.27,292.18
2017-09-24,Western,"1,140.12","1,168.59",25.17,3.83,72.00,16.95
2017-09-24,Southern,587.32,556.37,62.73,55.38,111.57,72.42
2017-09-24,Eastern,486.07,437.88,NaN,NaN,85.94,64.41
2017-09-24,NorthEastern,29.11,29.49,NaN,NaN,24.64,24.36
2017-09-25,Northern,624.13,571.59,30.36,31.41,273.27,303.26
2017-09-25,Western,"1,140.12","1,205.39",25.17,3.82,72.00,23.85
2017-09-25,Southern,591.15,550.65,62.73,55.41,111.57,77.38
2017-09-25,Eastern,486.07,449.09,NaN,NaN,85.94,71.43
2017-09-25,NorthEastern,29.11,29.55,NaN,NaN,24.64,22.31
2017-09-26,Northern,626.73,646.01,30.36,31.99,273.27,261.67
2017-09-26,Western,"1,140.12","1,237.06",25.17,3.84,72.00,28.24
2017-09-26,Southern,591.15,535.81,62.73,52.14,111.57,87.54
2017-09-26,Eastern,486.07,453.26,NaN,NaN,85.94,72.90
2017-09-26,NorthEastern,29.11,30.02,NaN,NaN,24.64,21.85
2017-09-27,Northern,626.73,661.69,30.36,35.54,273.27,254.28
2017-09-27,Western,"1,140.12","1,245.38",25.17,3.85,72.00,30.32
2017-09-27,Southern,591.15,543.71,62.73,42.16,111.57,79.20
2017-09-27,Eastern,486.07,445.78,NaN,NaN,85.94,73.83
2017-09-27,NorthEastern,29.11,30.10,NaN,NaN,24.64,21.47
2017-09-28,Northern,630.62,668.20,30.36,35.75,273.27,248.29
2017-09-28,Western,"1,140.12","1,241.16",25.17,3.83,72.00,26.39
2017-09-28,Southern,591.15,513.01,62.73,42.24,111.57,82.36
2017-09-28,Eastern,486.07,431.07,NaN,NaN,85.94,70.97
2017-09-28,NorthEastern,29.11,30.25,NaN,NaN,24.64,22.83
2017-09-29,Northern,630.62,649.48,30.36,35.81,273.27,240.09
2017-09-29,Western,"1,140.12","1,203.24",25.17,16.81,72.00,19.59
2017-09-29,Southern,601.66,485.78,62.73,40.27,111.57,83.47
2017-09-29,Eastern,486.07,417.12,NaN,NaN,85.94,71.65
2017-09-29,NorthEastern,29.11,29.71,NaN,NaN,24.64,25.09
2017-09-30,Northern,630.62,661.15,30.36,35.83,273.27,236.19
2017-09-30,Western,"1,140.12","1,134.40",25.17,16.82,72.00,18.41
2017-09-30,Southern,601.66,475.84,62.73,40.47,111.57,69.71
2017-09-30,Eastern,486.07,403.41,NaN,NaN,85.94,71.71
2017-09-30,NorthEastern,29.11,29.41,NaN,NaN,24.64,27.65
2017-10-01,Northern,621.75,650.52,25.80,36.17,157.46,222.85
2017-10-01,Western,"1,155.30","1,139.73",25.13,16.84,57.11,14.03
2017-10-01,Southern,575.70,466.38,47.73,40.16,92.06,49.74
2017-10-01,Eastern,479.50,382.63,NaN,NaN,63.36,71.06
2017-10-01,NorthEastern,29.16,29.11,NaN,NaN,17.17,27.48
2017-10-03,Northern,621.75,691.52,25.80,36.03,157.46,218.56
2017-10-03,Western,"1,155.30","1,215.31",25.13,16.83,57.11,39.96
2017-10-03,Southern,575.70,523.36,47.73,41.91,92.06,67.76
2017-10-03,Eastern,479.50,396.40,NaN,NaN,63.36,76.30
2017-10-03,NorthEastern,29.16,29.33,NaN,NaN,17.17,25.78
2017-10-04,Northern,621.75,719.34,25.80,35.95,157.46,216.91
2017-10-04,Western,"1,155.30","1,206.24",25.13,16.84,57.11,45.92
2017-10-04,Southern,575.70,548.00,47.73,43.93,92.06,80.90
2017-10-04,Eastern,479.50,387.92,NaN,NaN,63.36,80.68
2017-10-04,NorthEastern,29.16,30.12,NaN,NaN,17.17,25.15
2017-10-05,Northern,621.75,741.62,25.80,35.91,157.46,212.62
2017-10-05,Western,"1,150.82","1,221.59",25.13,16.83,57.11,33.89
2017-10-05,Southern,575.70,577.17,47.73,45.30,92.06,74.98
2017-10-05,Eastern,479.50,387.85,NaN,NaN,63.36,81.20
2017-10-05,NorthEastern,29.16,31.05,NaN,NaN,17.17,24.35
2017-10-06,Northern,621.75,742.06,25.80,35.87,157.46,209.70
2017-10-06,Western,"1,150.82","1,212.64",25.13,16.83,57.11,31.23
2017-10-06,Southern,581.31,569.68,47.73,45.87,92.06,65.89
2017-10-06,Eastern,479.50,401.48,NaN,NaN,63.36,77.08
2017-10-06,NorthEastern,29.16,31.36,NaN,NaN,17.17,23.01
2017-10-07,Northern,621.75,750.10,25.80,36.04,157.46,208.00
2017-10-07,Western,"1,150.82","1,203.27",25.13,16.83,57.11,24.51
2017-10-07,Southern,581.31,573.48,47.73,46.09,92.06,74.06
2017-10-07,Eastern,479.50,402.74,NaN,NaN,63.36,73.75
2017-10-07,NorthEastern,29.16,30.95,NaN,NaN,17.17,21.94
2017-10-08,Northern,621.75,728.14,25.80,36.10,157.46,200.47
2017-10-08,Western,"1,150.82","1,157.01",25.13,16.84,57.11,16.51
2017-10-08,Southern,590.19,524.03,47.73,46.26,92.06,71.65
2017-10-08,Eastern,479.50,404.25,NaN,NaN,63.36,72.49
2017-10-08,NorthEastern,29.16,30.12,NaN,NaN,17.17,19.52
2017-10-09,Northern,621.75,727.35,25.80,36.01,157.46,195.33
2017-10-09,Western,"1,155.30","1,160.06",25.13,16.83,57.11,18.71
2017-10-09,Southern,590.19,550.53,47.73,46.15,92.06,94.72
2017-10-09,Eastern,479.50,413.99,NaN,NaN,63.36,66.62
2017-10-09,NorthEastern,29.16,30.21,NaN,NaN,17.17,20.29
2017-10-10,Northern,621.75,721.26,25.80,36.06,157.46,191.80
2017-10-10,Western,"1,155.30","1,178.27",25.13,15.68,57.11,19.31
2017-10-10,Southern,590.19,558.62,47.73,46.20,92.06,111.74
2017-10-10,Eastern,479.50,419.50,NaN,NaN,63.36,69.80
2017-10-10,NorthEastern,29.16,30.48,NaN,NaN,17.17,21.31
2017-10-11,Northern,621.75,714.42,25.80,35.96,157.46,185.07
2017-10-11,Western,"1,155.30","1,191.84",25.13,16.02,57.11,19.11
2017-10-11,Southern,598.81,571.50,47.73,46.36,92.06,102.52
2017-10-11,Eastern,486.88,416.31,NaN,NaN,63.36,73.77
2017-10-11,NorthEastern,29.16,30.17,NaN,NaN,17.17,21.88
2017-10-12,Northern,621.75,703.75,25.80,35.79,157.46,180.93
2017-10-12,Western,"1,155.30","1,219.13",25.13,16.63,57.11,19.93
2017-10-12,Southern,598.81,574.58,47.73,46.41,92.06,102.35
2017-10-12,Eastern,486.88,412.28,NaN,NaN,63.36,76.79
2017-10-12,NorthEastern,29.16,29.92,NaN,NaN,17.17,19.90
2017-10-13,Northern,621.75,704.49,25.80,36.05,157.46,177.37
2017-10-13,Western,"1,155.30","1,226.64",25.13,16.88,57.11,21.27
2017-10-13,Southern,598.81,565.98,47.73,46.48,92.06,105.72
2017-10-13,Eastern,486.88,400.19,NaN,NaN,63.36,72.37
2017-10-13,NorthEastern,29.16,29.63,NaN,NaN,17.17,21.15
2017-10-14,Northern,618.71,684.25,25.80,36.09,157.46,170.48
2017-10-14,Western,"1,155.30","1,205.16",25.13,16.82,57.11,19.68
2017-10-14,Southern,598.81,558.71,47.73,46.41,92.06,95.59
2017-10-14,Eastern,486.88,419.29,NaN,NaN,63.36,74.79
2017-10-14,NorthEastern,29.16,28.71,NaN,NaN,17.17,20.90
2017-10-15,Northern,633.77,655.21,25.80,36.08,157.46,165.81
2017-10-15,Western,"1,155.30","1,180.41",25.13,16.89,57.11,17.75
2017-10-15,Southern,594.31,478.54,47.73,46.67,92.06,88.74
2017-10-15,Eastern,486.88,407.83,NaN,NaN,63.36,76.30
2017-10-15,NorthEastern,29.16,29.87,NaN,NaN,17.17,23.29
2017-10-16,Northern,626.17,656.71,25.80,36.31,157.46,161.47
2017-10-16,Western,"1,155.30","1,211.94",25.13,16.89,57.11,21.39
2017-10-16,Southern,602.87,493.32,47.73,48.22,92.06,96.55
2017-10-16,Eastern,486.88,413.23,NaN,NaN,63.36,49.46
2017-10-16,NorthEastern,29.16,30.68,NaN,NaN,17.17,21.29
2017-10-17,Northern,629.21,684.75,25.80,36.35,157.46,160.11
2017-10-17,Western,"1,155.30","1,219.80",25.13,16.86,57.11,18.38
2017-10-17,Southern,602.87,528.90,47.73,50.70,92.06,98.50
2017-10-17,Eastern,486.88,436.60,NaN,NaN,63.36,63.63
2017-10-17,NorthEastern,29.16,34.05,NaN,NaN,17.17,20.20
2017-10-18,Northern,629.21,670.18,25.80,36.43,157.46,156.53
2017-10-18,Western,"1,155.30","1,189.18",25.13,16.86,57.11,15.19
2017-10-18,Southern,589.87,510.02,47.73,52.29,92.06,85.72
2017-10-18,Eastern,486.88,432.78,NaN,NaN,63.36,59.90
2017-10-18,NorthEastern,29.16,33.71,NaN,NaN,17.17,20.02
2017-10-19,Northern,639.52,628.37,25.80,36.34,157.46,157.32
2017-10-19,Western,"1,153.02","1,121.42",25.13,16.85,57.11,14.78
2017-10-19,Southern,594.32,464.41,47.73,41.63,92.06,85.16
2017-10-19,Eastern,486.88,421.01,NaN,NaN,63.36,54.78
2017-10-19,NorthEastern,29.16,31.10,NaN,NaN,17.17,17.45
2017-10-20,Northern,628.36,588.78,25.80,36.12,157.46,154.62
2017-10-20,Western,"1,128.44","1,055.67",25.13,16.85,57.11,11.26
2017-10-20,Southern,594.32,483.91,47.73,43.79,92.06,90.58
2017-10-20,Eastern,484.80,405.91,NaN,NaN,63.36,55.70
2017-10-20,NorthEastern,29.16,28.76,NaN,NaN,17.17,16.83
2017-10-21,Northern,628.36,580.35,25.80,36.26,157.46,152.29
2017-10-21,Western,"1,128.44","1,056.42",25.13,16.87,57.11,15.28
2017-10-21,Southern,594.32,525.17,47.73,44.67,92.06,77.77
2017-10-21,Eastern,473.75,396.47,NaN,NaN,63.36,53.33
2017-10-21,NorthEastern,29.16,27.34,NaN,NaN,17.17,17.32
2017-10-22,Northern,628.36,593.12,25.80,36.44,157.46,151.80
2017-10-22,Western,"1,128.44","1,049.49",25.13,16.85,57.11,12.52
2017-10-22,Southern,594.32,512.06,47.73,46.27,92.06,61.65
2017-10-22,Eastern,469.18,412.41,NaN,NaN,63.36,54.17
2017-10-22,NorthEastern,29.16,26.81,NaN,NaN,17.17,22.23
2017-10-23,Northern,628.36,618.21,25.80,36.49,157.46,149.28
2017-10-23,Western,"1,128.44","1,131.33",25.13,16.85,57.11,17.87
2017-10-23,Southern,603.99,555.74,47.73,49.10,92.06,85.78
2017-10-23,Eastern,467.82,431.59,NaN,NaN,63.36,53.03
2017-10-23,NorthEastern,29.16,28.16,NaN,NaN,17.17,23.78
2017-10-24,Northern,625.88,643.17,25.80,36.56,157.46,141.92
2017-10-24,Western,"1,128.44","1,181.98",25.13,16.91,57.11,17.72
2017-10-24,Southern,603.99,608.18,47.73,51.06,92.06,72.52
2017-10-24,Eastern,467.82,440.35,NaN,NaN,63.36,64.65
2017-10-24,NorthEastern,29.16,29.52,NaN,NaN,17.17,23.06
2017-10-25,Northern,625.88,639.06,25.80,36.58,157.46,139.43
2017-10-25,Western,"1,127.02","1,198.23",25.13,16.77,57.11,22.42
2017-10-25,Southern,615.28,607.05,47.73,52.72,92.06,89.02
2017-10-25,Eastern,467.82,438.69,NaN,NaN,63.36,58.72
2017-10-25,NorthEastern,29.16,28.70,NaN,NaN,17.17,22.27
2017-10-26,Northern,625.88,619.47,25.80,36.55,157.46,138.04
2017-10-26,Western,"1,127.02","1,196.07",25.13,16.89,57.11,20.57
2017-10-26,Southern,615.28,599.14,47.73,52.81,92.06,86.30
2017-10-26,Eastern,467.82,439.32,NaN,NaN,63.36,54.62
2017-10-26,NorthEastern,29.16,28.93,NaN,NaN,17.17,20.61
2017-10-27,Northern,625.88,623.01,25.80,36.65,157.46,138.15
2017-10-27,Western,"1,127.02","1,204.84",25.13,16.85,57.11,22.28
2017-10-27,Southern,615.28,610.91,47.73,53.12,92.06,77.10
2017-10-27,Eastern,469.90,429.63,NaN,NaN,63.36,47.09
2017-10-27,NorthEastern,29.16,28.62,NaN,NaN,17.17,19.41
2017-10-28,Northern,614.95,625.74,25.80,36.60,157.46,135.12
2017-10-28,Western,"1,127.02","1,209.65",25.13,16.85,57.11,20.68
2017-10-28,Southern,615.28,604.00,47.73,53.90,92.06,71.45
2017-10-28,Eastern,469.90,429.20,NaN,NaN,63.36,42.38
2017-10-28,NorthEastern,29.16,27.32,NaN,NaN,17.17,19.11
2017-10-29,Northern,614.95,586.92,25.80,36.66,157.46,132.36
2017-10-29,Western,"1,127.02","1,191.91",25.13,16.84,57.11,17.71
2017-10-29,Southern,615.28,583.51,47.73,55.06,92.06,58.36
2017-10-29,Eastern,469.90,422.93,NaN,NaN,63.36,41.81
2017-10-29,NorthEastern,29.16,28.06,NaN,NaN,17.17,19.27
2017-10-30,Northern,614.95,582.12,25.80,36.65,157.46,132.53
2017-10-30,Western,"1,127.02","1,213.04",25.13,16.84,57.11,16.62
2017-10-30,Southern,615.28,582.53,47.73,55.46,92.06,63.28
2017-10-30,Eastern,469.90,425.51,NaN,NaN,63.36,40.32
2017-10-30,NorthEastern,29.16,28.94,NaN,NaN,17.17,19.26
2017-10-31,Northern,614.95,587.37,25.80,36.67,157.46,131.11
2017-10-31,Western,"1,127.02","1,229.73",25.13,16.85,57.11,20.03
2017-10-31,Southern,622.28,570.04,47.73,55.57,92.06,70.49
2017-10-31,Eastern,469.90,422.94,NaN,NaN,63.36,41.37
2017-10-31,NorthEastern,29.16,28.60,NaN,NaN,17.17,19.04
2017-11-01,Northern,596.89,597.39,16.80,36.61,117.50,130.08
2017-11-01,Western,"1,100.43","1,204.17",25.17,16.89,45.87,19.18
2017-11-01,Southern,594.88,559.27,47.83,55.68,72.56,55.19
2017-11-01,Eastern,451.11,430.68,NaN,NaN,36.75,39.83
2017-11-01,NorthEastern,29.11,32.12,NaN,NaN,12.92,17.97
2017-11-02,Northern,596.89,610.59,16.80,36.55,117.50,132.07
2017-11-02,Western,"1,100.43","1,204.19",25.17,16.87,45.87,22.30
2017-11-02,Southern,594.88,544.18,47.83,55.78,72.56,72.05
2017-11-02,Eastern,451.11,422.37,NaN,NaN,36.75,40.95
2017-11-02,NorthEastern,29.11,33.99,NaN,NaN,12.92,16.71
2017-11-03,Northern,596.89,610.97,16.80,36.64,117.50,129.47
2017-11-03,Western,"1,101.82","1,194.05",25.17,16.86,45.87,20.65
2017-11-03,Southern,594.88,535.80,47.83,55.96,72.56,71.23
2017-11-03,Eastern,451.11,437.55,NaN,NaN,36.75,40.48
2017-11-03,NorthEastern,29.11,34.66,NaN,NaN,12.92,15.75
2017-11-04,Northern,596.89,627.31,16.80,36.71,117.50,125.23
2017-11-04,Western,"1,101.82","1,144.65",25.17,16.85,45.87,19.40
2017-11-04,Southern,594.88,526.38,47.83,55.46,72.56,64.01
2017-11-04,Eastern,451.11,437.30,NaN,NaN,36.75,39.22
2017-11-04,NorthEastern,29.11,32.35,NaN,NaN,12.92,15.76
2017-11-05,Northern,596.89,587.17,16.80,36.66,117.50,124.54
2017-11-05,Western,"1,099.82","1,162.74",25.17,16.84,45.87,15.57
2017-11-05,Southern,599.07,495.74,47.83,50.14,72.56,38.31
2017-11-05,Eastern,451.11,438.22,NaN,NaN,36.75,37.30
2017-11-05,NorthEastern,29.11,30.87,NaN,NaN,12.92,14.99
2017-11-06,Northern,596.89,614.09,16.80,36.73,117.50,126.70
2017-11-06,Western,"1,099.82","1,221.96",25.17,16.87,45.87,25.61
2017-11-06,Southern,599.07,480.35,47.83,54.90,72.56,68.93
2017-11-06,Eastern,451.11,432.52,NaN,NaN,36.75,40.17
2017-11-06,NorthEastern,29.11,34.79,NaN,NaN,12.92,15.88
2017-11-07,Northern,596.89,617.60,16.80,36.70,117.50,125.68
2017-11-07,Western,"1,099.82","1,261.05",25.17,16.82,45.87,28.39
2017-11-07,Southern,599.07,503.14,47.83,54.99,72.56,67.16
2017-11-07,Eastern,454.86,424.32,NaN,NaN,36.75,39.33
2017-11-07,NorthEastern,29.11,29.06,NaN,NaN,12.92,16.65
2017-11-08,Northern,596.89,639.05,16.80,36.88,117.50,122.78
2017-11-08,Western,"1,099.82","1,238.80",25.17,16.88,45.87,29.90
2017-11-08,Southern,608.86,535.91,47.83,55.23,72.56,51.50
2017-11-08,Eastern,454.86,430.26,NaN,NaN,36.75,37.18
2017-11-08,NorthEastern,29.11,33.27,NaN,NaN,12.92,16.57
2017-11-09,Northern,599.39,641.82,16.80,36.87,117.50,121.18
2017-11-09,Western,"1,099.82","1,230.78",25.17,16.89,45.87,32.05
2017-11-09,Southern,608.86,575.15,47.83,55.53,72.56,52.96
2017-11-09,Eastern,454.86,426.79,NaN,NaN,36.75,35.99
2017-11-09,NorthEastern,29.11,32.80,NaN,NaN,12.92,14.72
2017-11-10,Northern,596.06,645.07,16.80,36.84,117.50,118.10
2017-11-10,Western,"1,099.82","1,199.80",25.17,16.87,45.87,30.66
2017-11-10,Southern,607.08,579.19,47.83,55.51,72.56,64.16
2017-11-10,Eastern,454.86,406.17,NaN,NaN,36.75,37.09
2017-11-10,NorthEastern,29.11,32.10,NaN,NaN,12.92,15.26
2017-11-11,Northern,596.06,605.75,21.30,36.96,117.50,117.29
2017-11-11,Western,"1,099.82","1,193.72",25.17,16.87,45.87,25.26
2017-11-11,Southern,607.08,561.02,47.83,55.44,72.56,63.44
2017-11-11,Eastern,454.86,416.83,NaN,NaN,36.75,35.11
2017-11-11,NorthEastern,29.11,32.08,NaN,NaN,12.92,15.83
2017-11-12,Northern,593.56,566.41,21.30,36.93,117.50,112.02
2017-11-12,Western,"1,099.82","1,167.47",25.17,16.86,45.87,19.38
2017-11-12,Southern,607.08,547.24,47.83,55.69,72.56,35.60
2017-11-12,Eastern,454.86,416.21,NaN,NaN,36.75,34.09
2017-11-12,NorthEastern,29.11,30.10,NaN,NaN,12.92,15.14
2017-11-13,Northern,582.56,589.98,21.30,37.01,117.50,113.11
2017-11-13,Western,"1,099.82","1,174.50",25.17,16.85,45.87,29.17
2017-11-13,Southern,607.08,575.82,47.83,55.56,72.56,57.20
2017-11-13,Eastern,454.86,420.78,NaN,NaN,36.75,38.26
2017-11-13,NorthEastern,29.11,28.70,NaN,NaN,12.92,15.69
2017-11-14,Northern,579.64,608.03,21.30,36.96,117.50,108.93
2017-11-14,Western,"1,099.82","1,179.94",25.17,16.84,45.87,29.15
2017-11-14,Southern,611.55,601.88,47.83,55.60,72.56,67.54
2017-11-14,Eastern,454.86,419.03,NaN,NaN,36.75,38.70
2017-11-14,NorthEastern,29.11,30.15,NaN,NaN,12.92,16.16
2017-11-15,Northern,568.00,599.13,21.30,36.88,117.50,111.28
2017-11-15,Western,"1,098.68","1,172.71",25.17,16.86,45.87,24.25
2017-11-15,Southern,611.55,599.82,47.83,55.54,72.56,56.87
2017-11-15,Eastern,475.92,407.92,NaN,NaN,36.75,37.27
2017-11-15,NorthEastern,29.11,31.16,NaN,NaN,12.92,15.63
2017-11-16,Northern,574.07,592.14,21.30,36.90,117.50,110.98
2017-11-16,Western,"1,098.68","1,173.19",25.17,16.95,45.87,25.50
